Entity1_id	Entity1_name	Entity1_type	Entity2_id	Entity2_name	Entity2_type	Evidence	Association	PK	PD	PMIDs	Entity1_id_orig
Q8N957	ANKFN1	Gene	PA449899	hydrochlorothiazide	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD		PA142672624
P15559	NQO1	Gene	PA10804	imatinib	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	30237583	PA31744
P15559	NQO1	Gene	PA164712331	Alkylating Agents	Chemical	ClinicalAnnotation	associated		PD	10208650;11160862;18511948;21479364;21946896;24533712;25545243	PA31744
P15559	NQO1	Gene	PA164713176	Platinum compounds	Chemical	ClinicalAnnotation	associated		PD	10208650;11160862;18511948;21479364;21946896;24533712;25545243	PA31744
P15559	NQO1	Gene	PA449298	dicumarol	Chemical	VipGene	associated				PA31744
P15559	NQO1	Gene	PA449412	doxorubicin	Chemical	VariantAnnotation,VipGene	associated		PD	9333325;10954045;21946896;26014925	PA31744
P15559	NQO1	Gene	PA449552	etoposide	Chemical	VariantAnnotation	associated				PA31744
P15559	NQO1	Gene	PA450428	methotrexate	Chemical	VariantAnnotation	associated		PD	26014925	PA31744
P15559	NQO1	Gene	PA451991	benzene	Chemical	VariantAnnotation,VipGene	associated		PD	15935810	PA31744
Q15833	STXBP2	Gene	PA166182763	emapalumab	Chemical	LabelAnnotation	associated				PA36242
P00797	REN	Gene	PA162356187	muraglitazar	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	18794727	PA297
P00797	REN	Gene	PA449899	hydrochlorothiazide	Chemical	VariantAnnotation	associated		PD	21261619	PA297
P32320	CDA	Gene	PA164713176	Platinum compounds	Chemical	VariantAnnotation	associated		PD	22134350	PA98
P32320	CDA	Gene	PA166131569	difluorodeoxyuridine	Chemical	ClinicalAnnotation	associated	PK		22838949	PA98
P32320	CDA	Gene	PA166180985	ara-CTP	Chemical	VariantAnnotation	associated	PK		30088438	PA98
P32320	CDA	Gene	PA451996	azacitidine	Chemical	VariantAnnotation	associated		PD	25850965;26556583	PA98
P24387	CRHBP	Gene	PA448073	ethanol	Chemical	ClinicalAnnotation	associated		PD	21039637	PA26873
P24387	CRHBP	Gene	PA450401	methadone	Chemical	VariantAnnotation	associated			29465008	PA26873
P50461	CSRP3	Gene	PA164713366	Tumor necrosis factor alpha (TNF-alpha) inhibitors	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD		PA26971
Q7LGC8	CHST3	Gene	PA449383	docetaxel	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	20038957	PA26503
Q7LGC8	CHST3	Gene	PA451644	thalidomide	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	20038957	PA26503
P32297	CHRNA3	Gene	PA164712950	Opium alkaloids and derivatives	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	20725741	PA113
P32297	CHRNA3	Gene	PA166114414	cotinine	Chemical	ClinicalAnnotation,VariantAnnotation	associated	PK			PA113
Q9BQB6	VKORC1	Gene	PA165980614	fluindione	Chemical	ClinicalAnnotation,VariantAnnotation	associated	PK	PD	21883387	PA133787052
P13591	NCAM1	Gene	PA10066	duloxetine	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	28696415	PA31459
O14896	IRF6	Gene	PA450037	interferon beta-1a	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	30013178	PA29920
O14896	IRF6	Gene	PA450039	interferon beta-1b	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	30013178	PA29920
Q96P48	ARAP1	Gene	PA448499	atenolol	Chemical	VariantAnnotation	associated		PD		PA164715867
P50502	ST13	Gene	PA10832	corticosteroids	Chemical	ClinicalAnnotation,VariantAnnotation	associated		PD	25616159	PA36167
P04626	ERBB2	Gene	PA131301952	gefitinib	Chemical	Pathway	associated				PA27844
P04626	ERBB2	Gene	PA134687924	erlotinib	Chemical	Pathway	associated				PA27844
P04626	ERBB2	Gene	PA152241907	lapatinib	Chemical	LabelAnnotation,MultilinkAnnotation,Pathway,VipGene	associated			23220880;26570998	PA27844
P04626	ERBB2	Gene	PA164746311	everolimus	Chemical	LabelAnnotation	associated				PA27844
P04626	ERBB2	Gene	PA164747170	fulvestrant	Chemical	LabelAnnotation	associated				PA27844
P04626	ERBB2	Gene	PA164920420	olaparib	Chemical	LabelAnnotation	associated				PA27844
P04626	ERBB2	Gene	PA165110439	ixabepilone	Chemical	LabelAnnotation	associated				PA27844
P04626	ERBB2	Gene	PA165290933	pertuzumab	Chemical	LabelAnnotation,VipGene	associated				PA27844
P04626	ERBB2	Gene	PA165291472	neratinib	Chemical	LabelAnnotation,MultilinkAnnotation,VipGene	associated			23220880	PA27844
P04626	ERBB2	Gene	PA165958441	trastuzumab emtansine	Chemical	LabelAnnotation,VipGene	associated				PA27844
P04626	ERBB2	Gene	PA166153469	palbociclib	Chemical	LabelAnnotation	associated				PA27844
P04626	ERBB2	Gene	PA166153470	ribociclib	Chemical	LabelAnnotation	associated				PA27844
P04626	ERBB2	Gene	PA166153471	abemaciclib	Chemical	LabelAnnotation	associated				PA27844
P04626	ERBB2	Gene	PA166182723	eribulin	Chemical	LabelAnnotation	associated				PA27844
P04626	ERBB2	Gene	PA166182740	talazoparib	Chemical	LabelAnnotation	associated				PA27844
