prots	2020-03-sarscov2-human-ppi
O00203	1
O60885	1
P25440	1
Q6UX04	1
Q86VM9	1
Q8IWA5	1
O75439	1
O95070	1
P05026	1
P11310	1
P13804	1
P27105	1
P38435	1
P38606	1
P48556	1
Q00765	1
Q10713	1
Q4KMQ2	1
Q5JRX3	1
Q6PML9	1
Q7L8L6	1
Q8NEW0	1
Q96CW5	1
Q96D53	1
Q96ER3	1
Q96HR9	1
Q96HW7	1
Q9BQT8	1
Q9BSJ2	1
Q9BW92	1
Q9NQC3	1
Q9UBU6	1
Q9UDR5	1
Q9ULX6	1
Q9Y312	1
Q9Y6E2	1
O43818	1
P11940	1
P19784	1
P67870	1
Q13283	1
Q13310	1
Q6PKG0	1
Q8NCA5	1
Q8TAD8	1
Q92900	1
Q9HCE1	1
Q9UN86	1
Q9NR30	1
Q9NW13	1
Q9Y3U8	1
Q7Z5G4	1
Q9C0B5	1
P09884	1
P49642	1
P49643	1
Q14181	1
Q8NBJ5	1
Q99959	1
O94973	1
P55789	1
Q969X5	1
Q96CW1	1
Q9HAV7	1
O75347	1
A3KN83	1
O14874	1
O43823	1
O75592	1
O95391	1
Q13546	1
Q14157	1
Q2T9J0	1
Q5EBL8	1
Q5JSZ5	1
Q5T6F2	1
Q5VUA4	1
Q6UUV7	1
Q70EL1	1
Q8IWR0	1
Q92615	1
Q96IZ5	1
Q99081	1
Q9H2H8	1
Q9HAU0	1
A7MCY6	1
O14578	1
O75506	1
O95613	1
O95684	1
P13861	1
P17612	1
P31323	1
P35241	1
P49454	1
Q04724	1
Q04726	1
Q08117	1
Q08378	1
Q08379	1
Q14789	1
Q4V328	1
Q5VT06	1
Q5VU43	1
Q66GS9	1
Q76N32	1
Q7Z7A1	1
Q8IUD2	1
Q8IWJ2	1
Q8N3C7	1
Q8N4C6	1
Q8N8E3	1
Q8TD10	1
Q92995	1
Q96CN9	1
Q96N16	1
Q96SN8	1
Q99996	1
Q9BQQ3	1
Q9BQS8	1
Q9BV19	1
Q9BV73	1
Q9UHD2	1
Q9UJC3	1
Q9Y2I6	1
P06280	1
P12268	1
Q9NXA8	1
P61970	1
P62330	1
Q9H4P4	1
O14975	1
O60573	1
P16435	1
P52306	1
Q2M389	1
Q5T1M5	1
Q6Y7W6	1
P14735	1
P62072	1
Q2TAA5	1
Q8TEM1	1
Q9BSF4	1
Q9NVH1	1
Q9Y5J6	1
Q9Y5J7	1
Q92769	1
P07203	1
Q9NXH9	1
O75964	1
Q15904	1
Q99720	1
Q9H7F0	1
O00116	1
O43169	1
O95573	1
P00387	1
P11233	1
P21964	1
P51148	1
P51149	1
P61006	1
P61019	1
P61026	1
P61106	1
P61586	1
P62820	1
P62873	1
P63218	1
Q12907	1
Q13724	1
Q5JTV8	1
Q5VT66	1
Q6ZRP7	1
Q7LGA3	1
Q8N183	1
Q8NBX0	1
Q8WTV0	1
Q8WUY8	1
Q8WVC6	1
Q96A26	1
Q96DA6	1
Q9BQE4	1
Q9H7Z7	1
Q9NP72	1
O00566	1
O76094	1
O95260	1
O96028	1
P09132	1
P61011	1
P82663	1
Q13206	1
Q4G0J3	1
Q7L2J0	1
Q8NEJ9	1
Q96B26	1
Q96I59	1
Q9BSC4	1
Q9H6F5	1
Q9HD40	1
Q9NQT4	1
Q9NQT5	1
Q9NY61	1
Q9ULT8	1
Q9Y399	1
P82675	1
Q13868	1
Q92552	1
P13984	1
P35555	1
P35556	1
P35658	1
P37198	1
P61962	1
Q15056	1
Q7Z3B4	1
Q86YT6	1
Q8N0X7	1
Q8TD19	1
Q96F45	1
Q99567	1
Q9BVL2	1
Q9NZL9	1
Q9UBX5	1
P50897	1
Q13617	1
Q3KQU3	1
Q9BU02	1
Q9C0D3	1
Q9Y5J9	1
P62877	1
Q15369	1
Q15370	1
P09601	1
Q8IWR1	1
Q8N6S5	1
Q96JC1	1
Q96S66	1
Q9H270	1
Q9UH99	1
Q9Y673	1
Q9UJZ1	1
P52948	1
P78406	1
Q9NZJ7	1
Q7Z4Q2	1
Q9NU22	1
O00469	1
O14656	1
O76061	1
P00750	1
P05556	1
P0C7P0	1
P12109	1
P15151	1
P26358	1
P28300	1
P29122	1
P58166	1
P61916	1
Q08431	1
Q13438	1
Q15818	1
Q6UW63	1
Q7Z4H8	1
Q86YB8	1
Q8IV08	1
Q8IWF2	1
Q8IZ52	1
Q8N0Z8	1
Q8N766	1
Q92820	1
Q96DZ1	1
Q96F46	1
Q96IV0	1
Q96MM7	1
Q99470	1
Q99519	1
Q99988	1
Q9BRN9	1
Q9BS26	1
Q9BZQ6	1
Q9H173	1
Q9H488	1
Q9H4F8	1
Q9H8W4	1
Q9NXK8	1
Q9NYU1	1
Q9P2E5	1
Q9UHI8	1
Q9Y4L1	1
Q9Y680	1
Q13443	1
Q96AY3	1
O14745	1
O43633	1
O75534	1
O94826	1
P27448	1
Q7KZI7	1
Q9H2P9	1
Q9H773	1
Q9P0L2	1
Q9UKA9	1
Q9UL15	1
O00124	1
O43292	1
O76024	1
P33527	1
P55085	1
Q12770	1
Q2PZI1	1
Q5BJF2	1
Q6NXT4	1
Q6NXT6	1
Q7Z2K6	1
Q86UT6	1
Q86VR2	1
Q8TEQ8	1
Q96K12	1
Q9BQ95	1
Q9BVK2	1
Q9GZU3	1
Q9H3K2	1
Q9H845	1
Q9NV92	1
Q9Y276	1
Q9Y375	1
Q9Y3A6	1
Q9Y6M9	1
Q96S52	1
